"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Leusin, M.E.; Frazzon, E.M.; Uriona-Maldonado, M.; Kück, M.; Freitag, M.","Leusin, Matheus Eduardo (57203768307); Frazzon, E. M. (35791521500); Uriona-Maldonado, Mauricio (35148501500); Kück, Mirko (54786019200); Freitag, Michael Maria (8616327000)","57203768307; 35791521500; 35148501500; 54786019200; 8616327000","Solving the Job-Shop Scheduling Problem in the Industry 4.0 Era","2018","Technologies","6","4","107","","","0","85","10.3390/technologies6040107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108074590&doi=10.3390%2Ftechnologies6040107&partnerID=40&md5=f291c2407a5f0ca809ef43bb6345ac62","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85108074590"
"Hu, X.; Wang, G.; Li, X.; Zhang, Y.; Feng, S.; Yang, A.","Hu, Xiaojian (55615826800); Wang, Guanxiong (57204503587); Li, Xiaozheng (57204498908); Zhang, Yue (57189627023); Feng, Shuai (57204501027); Yang, Aifeng (57193390384)","55615826800; 57204503587; 57204498908; 57189627023; 57204501027; 57193390384","Joint decision model of supplier selection and order allocation for the mass customization of logistics services","2018","Transportation Research Part E: Logistics and Transportation Review","120","","","76","95","0","58","10.1016/j.tre.2018.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055837582&doi=10.1016%2Fj.tre.2018.10.011&partnerID=40&md5=4faa051ecc448aed0bb601fcee3f562e","Article","Final","","Scopus","2-s2.0-85055837582"
"Güçdemir, H.; Selim, H.","Güçdemir, Hülya (56534231300); Selim, Hasan (7005231608)","56534231300; 7005231608","Integrating simulation modelling and multi criteria decision making for customer focused scheduling in job shops","2018","Simulation Modelling Practice and Theory","88","","","17","31","0","22","10.1016/j.simpat.2018.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051827939&doi=10.1016%2Fj.simpat.2018.08.001&partnerID=40&md5=58111fbb834cd7ddd9a0354e7b5e1aa8","Article","Final","","Scopus","2-s2.0-85051827939"
"Deradjat, D.; Minshall, T.","Deradjat, Dominik (57144535200); Minshall, Tim H.W. (23973523200)","57144535200; 23973523200","Decision trees for implementing rapid manufacturing for mass customisation","2018","CIRP Journal of Manufacturing Science and Technology","23","","","156","171","0","22","10.1016/j.cirpj.2017.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042930050&doi=10.1016%2Fj.cirpj.2017.12.003&partnerID=40&md5=9ae23599ec08af4617c3c82661cb47d0","Article","Final","","Scopus","2-s2.0-85042930050"
"de C Bissoli, D.C.; Altoe, W.A.S.; Regis Mauri, G.R.; Amaral, A.R.S.","de C Bissoli, Dayan C.Castro (57015460200); Altoe, Wagner A.S. (57205692232); Regis Mauri, Geraldo Regis (24468725500); Amaral, André Renato Sales (7005934649)","57015460200; 57205692232; 24468725500; 7005934649","A simulated annealing metaheuristic for the bi-objective flexible job shop scheduling problem","2018","","2018-January","","8627907","","","0","6","10.1109/RICE.2018.8627907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061118419&doi=10.1109%2FRICE.2018.8627907&partnerID=40&md5=b1528f425e6e9331eae5953bb7dbc36e","Conference paper","Final","","Scopus","2-s2.0-85061118419"
"Flores Ituarte, I.; Chekurov, S.; Tuomi, J.; Mascolo, J.E.; Zanella, A.; Springer, P.; Partanen, J.","Flores Ituarte, Iñigo Flores (57189071760); Chekurov, Sergei (57192012600); Tuomi, Jukka T. (56363691700); Mascolo, Julien Etienne (35320075800); Zanella, Alessandro (7102861458); Springer, Patrick (57195313550); Partanen, Jouni P. (7202098650)","57189071760; 57192012600; 56363691700; 35320075800; 7102861458; 57195313550; 7202098650","Digital manufacturing applicability of a laser sintered component for automotive industry: a case study","2018","Rapid Prototyping Journal","24","7","","1203","1211","0","33","10.1108/RPJ-11-2017-0238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054627489&doi=10.1108%2FRPJ-11-2017-0238&partnerID=40&md5=6720a0d06519563d9e0c13cb8c41484f","Article","Final","","Scopus","2-s2.0-85054627489"
"Altoe, W.A.S.; de C Bissoli, D.C.; Regis Mauri, G.R.; Amaral, A.R.S.","Altoe, Wagner A.S. (57205692232); de C Bissoli, Dayan C.Castro (57015460200); Regis Mauri, Geraldo Regis (24468725500); Amaral, André Renato Sales (7005934649)","57205692232; 57015460200; 24468725500; 7005934649","A clustering search metaheuristic for the bi-objective flexible job shop scheduling problem","2018","","","","8786265","158","166","0","6","10.1109/CLEI.2018.00027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071118463&doi=10.1109%2FCLEI.2018.00027&partnerID=40&md5=b75e369c8d5be5eca74f2d249b551c34","Conference paper","Final","","Scopus","2-s2.0-85071118463"
"Cavalca, D.L.; Fernandes, R.A.S.","Cavalca, Diego L. (57202359143); Fernandes, Ricardo Augusto Souza (35435003000)","57202359143; 35435003000","Hybrid Particle Swarm Algorithm Applied to Flexible Job-Shop Problem","2018","","","","8477680","","","0","1","10.1109/CEC.2018.8477680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056268755&doi=10.1109%2FCEC.2018.8477680&partnerID=40&md5=2d370d25b7942696da18de831582fa65","Conference paper","Final","","Scopus","2-s2.0-85056268755"
"Skołud, B.; Szopa, A.","Skołud, Bożena (6507150209); Szopa, Agnieszka (57204508560)","6507150209; 57204508560","Production planning methodology in hybrid systems","2018","IOP Conference Series: Materials Science and Engineering","400","6","062027","","","0","1","10.1088/1757-899X/400/6/062027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055803333&doi=10.1088%2F1757-899X%2F400%2F6%2F062027&partnerID=40&md5=62166550fe10119f193868229fc66970","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85055803333"
"Afteni, C.; Frumuşanu, G.; Epureanu, A.","Afteni, Cezarina (57194269492); Frumuşanu, Gabriel Radu (36617239200); Epureanu, Alexandru (25645882800)","57194269492; 36617239200; 25645882800","Instance-based comparative assessment with application in manufacturing","2018","IOP Conference Series: Materials Science and Engineering","400","4","042001","","","0","3","10.1088/1757-899X/400/4/042001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055771456&doi=10.1088%2F1757-899X%2F400%2F4%2F042001&partnerID=40&md5=0a4f405cf0eef26fa587441bc726506f","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85055771456"
"Alemany Díaz, M.M.E.; Ortiz Bas, A.; Fuertes-Miquel, V.S.","Alemany Díaz, Mª Mar Eva (15841436200); Ortiz Bas, Ángel (23668694000); Fuertes-Miquel, Vicente S. (6507312882)","15841436200; 23668694000; 6507312882","A decision support tool for the order promising process with product homogeneity requirements in hybrid Make-To-Stock and Make-To-Order environments. Application to a ceramic tile company","2018","Computers and Industrial Engineering","122","","","219","234","0","11","10.1016/j.cie.2018.05.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048162212&doi=10.1016%2Fj.cie.2018.05.040&partnerID=40&md5=fc5f36fb525aaaa10c2639a7f0433799","Article","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85048162212"
"Fernandes, N.O.; Martins, T.; Carmo-Silva, S.","Fernandes, Nuno O. (14064512000); Martins, Tiago (57202331388); Carmo-Silva, S. Do (24337464200)","14064512000; 57202331388; 24337464200","Improving materials flow through autonomous production control","2018","Journal of Industrial and Production Engineering","35","5","","319","327","0","11","10.1080/21681015.2018.1479895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047953903&doi=10.1080%2F21681015.2018.1479895&partnerID=40&md5=83d98ebb2d9a612aaa18bc067464f633","Article","Final","","Scopus","2-s2.0-85047953903"
"Wu, X.; Zhao, J.; Tong, Y.","Wu, Xinye (57202336220); Zhao, Jianbo (57202814420); Tong, Yifei (42262749900)","57202336220; 57202814420; 42262749900","Big data analysis and scheduling optimization system oriented assembly process for complex equipment","2018","IEEE Access","6","","","36479","36486","0","13","10.1109/ACCESS.2018.2852791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049435430&doi=10.1109%2FACCESS.2018.2852791&partnerID=40&md5=b02fcff4363b78a72b597acb2f259699","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85049435430"
"Shen, Z.; Smalov, L.","Shen, Zhonghua (59872229100); Smalov, Leon (18434990000)","59872229100; 18434990000","Comparative performance of genetic algorithm, simulated annealing and ant colony optimisation in solving the job-shop scheduling problem","2018","","","","8638185","","","0","4","10.1109/ICSENG.2018.8638185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063132755&doi=10.1109%2FICSENG.2018.8638185&partnerID=40&md5=5b2eca15226b304a51e0596392fa1a00","Conference paper","Final","","Scopus","2-s2.0-85063132755"
"Wang, H.; Jiang, Z.; Wang, Y.; Zhang, H.; Wang, Y.","Wang, Han (57194211866); Jiang, Zhigang (56020606800); Wang, Yan (56274770600); Zhang, Hua (59178742700); Wang, Yanghong (36617957800)","57194211866; 56020606800; 56274770600; 59178742700; 36617957800","A two-stage optimization method for energy-saving flexible job-shop scheduling based on energy dynamic characterization","2018","Journal of Cleaner Production","188","","","575","588","0","135","10.1016/j.jclepro.2018.03.254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047493844&doi=10.1016%2Fj.jclepro.2018.03.254&partnerID=40&md5=eabeea3b161c880fda5e57e4f444dd23","Article","Final","","Scopus","2-s2.0-85047493844"
