"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Document Type","Source","EID"
"Zeb, S.; Mahmood, A.; Khowaja, S.A.; Dev, K.; Hassan, S.A.; Gidlund, M.; Bellavista, P.","Zeb, Shah (57203089627); Mahmood, Aamir (36024046600); Khowaja, Sunder Ali (56500465400); Dev, Kapal (57190336390); Hassan, Syed Ali (36679064300); Gidlund, Mikael (25641313800); Bellavista, Paolo (6603925242)","57203089627; 36024046600; 56500465400; 57190336390; 36679064300; 25641313800; 6603925242","Towards defining industry 5.0 vision with intelligent and softwarized wireless network architectures and services: A survey","2024","10.1016/j.jnca.2023.103796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180932166&doi=10.1016%2Fj.jnca.2023.103796&partnerID=40&md5=d92638f740cf11dd63ceabd84258769d","Review","Scopus","2-s2.0-85180932166"
"Skorupińska, E.; Hitka, M.; Sydor, M.","Skorupińska, Ewa (57808432500); Hitka, Miloš (16204917700); Sydor, Maciej (23013232000)","57808432500; 16204917700; 23013232000","Surveying Quality Management Methodologies in Wooden Furniture Production","2024","10.3390/systems12020051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185695807&doi=10.3390%2Fsystems12020051&partnerID=40&md5=661dedc21452c0491071ec1ccf319853","Review","Scopus","2-s2.0-85185695807"
"de Sousa, A.L.; Oliveira, A.S.","de Sousa, Alex Luiz (57194084411); Oliveira, Andre Schneider de (26667570700)","57194084411; 26667570700","Deadlock-free production using Dempster–Shafer and preset methods in predictive scheduling for multiagent controlled flexible manufacturing systems","2024","10.1016/j.asoc.2024.111234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184750578&doi=10.1016%2Fj.asoc.2024.111234&partnerID=40&md5=db6cb2478aa439eba5bda509528265a3","Review","Scopus","2-s2.0-85184750578"
"Ezeh, E.M.","Ezeh, Ernest Mbamalu (57724574500)","57724574500","Advances in the development of polyester resin composites: a review","2024","10.1108/WJE-12-2023-0517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208248946&doi=10.1108%2FWJE-12-2023-0517&partnerID=40&md5=18b41ac3fcbc5edfe1aba54f9b36b2e5","Review","Scopus","2-s2.0-85208248946"
"Goh, G.D.; Wong, K.K.; Tan, N.; Seet, H.L.; Nai, M.L.S.","Goh, Guo Dong (57191379991); Wong, Kin Keong (58973462200); Tan, Nigel (58973462300); Seet, Hang Li (6602918536); Nai, Mui Ling Sharon (57214856397)","57191379991; 58973462200; 58973462300; 6602918536; 57214856397","Large-format additive manufacturing of polymers: a review of fabrication processes, materials, and design","2024","10.1080/17452759.2024.2336160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189619625&doi=10.1080%2F17452759.2024.2336160&partnerID=40&md5=6731e3c7d950bf651890eeffb9e0b1ac","Review","Scopus","2-s2.0-85189619625"
"El Abidine, Z.Z.; Koltai, T.","El Abidine, Zakaria Zine (58783592000); Koltai, T. (36882890100)","58783592000; 36882890100","The Effect of Learning on Assembly Line Balancing: A Review","2024","10.3311/PPso.22283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180799544&doi=10.3311%2FPPso.22283&partnerID=40&md5=e19f1b498c9374595bb112743819fe3a","Review","Scopus","2-s2.0-85180799544"
"Patel, D.; Sahu, C.K.; Rai, R.","Patel, Dhruv (57209202509); Sahu, Chandan Kumar (57216671650); Rai, Rahul (7101651655)","57209202509; 57216671650; 7101651655","Security in modern manufacturing systems: integrating blockchain in artificial intelligence-assisted manufacturing","2024","10.1080/00207543.2023.2262050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173969912&doi=10.1080%2F00207543.2023.2262050&partnerID=40&md5=6975ad39850c0778e462c64815f4509f","Review","Scopus","2-s2.0-85173969912"
"Del Gallo, M.; Mazzuto, G.; Ciarapica, F.E.; Bevilacqua, M.","Del Gallo, Mateo (58756020200); Mazzuto, Giovanni (55110450400); Ciarapica, Filippo Emanuele (10541204900); Bevilacqua, Maurizio (7102698862)","58756020200; 55110450400; 10541204900; 7102698862","Artificial Intelligence to Solve Production Scheduling Problems in Real Industrial Settings: Systematic Literature Review","2023","10.3390/electronics12234732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179304084&doi=10.3390%2Felectronics12234732&partnerID=40&md5=487b92fe50be9519f2f81848a097d479","Review","Scopus","2-s2.0-85179304084"
"Yang, H.; Jiang, L.; Wan, H.","Yang, Honglin (23390929400); Jiang, Lan (58521930200); Wan, Hong (57202950357)","23390929400; 58521930200; 57202950357","Return window decision for modular mass customization products in a two-echelon returnable supply chain","2023","10.1007/s12351-023-00797-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173435638&doi=10.1007%2Fs12351-023-00797-3&partnerID=40&md5=4ea8d42773f91d469b85d748ae1e8c61","Review","Scopus","2-s2.0-85173435638"
"Chang, D.; Shi, H.; Han, C.; Meng, F.","Chang, Daliang (57221475920); Shi, Haibo (7402623419); Han, Chao (57221469253); Meng, Fu (57221482623)","57221475920; 7402623419; 57221469253; 57221482623","Research on Production Scheduling Optimization of Flexible Job Shop Production with Buffer Capacity Limitation Based on the Improved Gene Expression Programming Algorithm","2023","10.1007/s12541-023-00897-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171253101&doi=10.1007%2Fs12541-023-00897-2&partnerID=40&md5=203691c04316c5fff80f20d2463ed301","Review","Scopus","2-s2.0-85171253101"
